Column-0,#,Name,Price,24h,7d,Market Cap,Volume,Circulating Supply,Last 7 Days,Column-10
,1,"Bitcoin

BTC","$49,010.15",0.05%,2.80%,"$915,813,424,515","$46,798,154,053

952,678 BTC","18,643,362 BTC",,
,2,"Ethereum

ETH","$1,544.98",1.43%,4.41%,"$177,506,236,965","$21,346,541,649

13,816,748 ETH","114,892,566 ETH",,
,3,"Cardano

ADA",$1.23,1.56%,24.95%,"$39,404,095,446","$7,039,543,324

5,707,566,838 ADA","31,948,309,441 ADA",,
,4,"Binance Coin

BNB",$244.41,1.87%,0.19%,"$37,770,119,475","$6,081,166,500

24,880,504 BNB","154,532,785 BNB",,
,5,"Tether

USDT",$1.00,0.01%,0.03%,"$35,890,956,375","$88,117,707,385

88,069,587,377 USDT","35,871,356,760 USDT",,
,6,"Polkadot

DOT",$37.23,3.33%,6.18%,"$34,049,682,954","$3,536,557,560

94,998,910 DOT","914,641,633 DOT",,
,7,"XRP

XRP",$0.4433,0.41%,9.26%,"$20,127,662,149","$3,206,256,444

7,232,680,991 XRP","45,404,028,640 XRP",,
,8,"Litecoin

LTC",$189.75,9.66%,5.11%,"$12,634,206,958","$5,619,629,279

29,615,888 LTC","66,583,263 LTC",,
,9,"Chainlink

LINK",$29.85,3.16%,8.25%,"$12,238,895,780","$2,350,690,153

78,749,378 LINK","410,009,556 LINK",,
,10,"Bitcoin Cash

BCH",$531.60,6.05%,1.28%,"$9,924,639,941","$4,592,266,409

8,638,589 BCH","18,669,406 BCH",,
"Crypto.com DeFi Wallet - Best Place to Manage, Swap & Farm DeFi Tokens
Securely Manage, Swap & Farm DeFi Tokens, including UNI, COMP, YFI, CRO, AAVE.
Boost your yields by up to 20x when you stake CRO!
Get App Now

Sponsored","Crypto.com DeFi Wallet - Best Place to Manage, Swap & Farm DeFi Tokens
Securely Manage, Swap & Farm DeFi Tokens, including UNI, COMP, YFI, CRO, AAVE.
Boost your yields by up to 20x when you stake CRO!
Get App Now

Sponsored","Crypto.com DeFi Wallet - Best Place to Manage, Swap & Farm DeFi Tokens
Securely Manage, Swap & Farm DeFi Tokens, including UNI, COMP, YFI, CRO, AAVE.
Boost your yields by up to 20x when you stake CRO!
Get App Now

Sponsored","Crypto.com DeFi Wallet - Best Place to Manage, Swap & Farm DeFi Tokens
Securely Manage, Swap & Farm DeFi Tokens, including UNI, COMP, YFI, CRO, AAVE.
Boost your yields by up to 20x when you stake CRO!
Get App Now

Sponsored","Crypto.com DeFi Wallet - Best Place to Manage, Swap & Farm DeFi Tokens
Securely Manage, Swap & Farm DeFi Tokens, including UNI, COMP, YFI, CRO, AAVE.
Boost your yields by up to 20x when you stake CRO!
Get App Now

Sponsored","Crypto.com DeFi Wallet - Best Place to Manage, Swap & Farm DeFi Tokens
Securely Manage, Swap & Farm DeFi Tokens, including UNI, COMP, YFI, CRO, AAVE.
Boost your yields by up to 20x when you stake CRO!
Get App Now

Sponsored","Crypto.com DeFi Wallet - Best Place to Manage, Swap & Farm DeFi Tokens
Securely Manage, Swap & Farm DeFi Tokens, including UNI, COMP, YFI, CRO, AAVE.
Boost your yields by up to 20x when you stake CRO!
Get App Now

Sponsored","Crypto.com DeFi Wallet - Best Place to Manage, Swap & Farm DeFi Tokens
Securely Manage, Swap & Farm DeFi Tokens, including UNI, COMP, YFI, CRO, AAVE.
Boost your yields by up to 20x when you stake CRO!
Get App Now

Sponsored","Crypto.com DeFi Wallet - Best Place to Manage, Swap & Farm DeFi Tokens
Securely Manage, Swap & Farm DeFi Tokens, including UNI, COMP, YFI, CRO, AAVE.
Boost your yields by up to 20x when you stake CRO!
Get App Now

Sponsored","Crypto.com DeFi Wallet - Best Place to Manage, Swap & Farm DeFi Tokens
Securely Manage, Swap & Farm DeFi Tokens, including UNI, COMP, YFI, CRO, AAVE.
Boost your yields by up to 20x when you stake CRO!
Get App Now

Sponsored","Crypto.com DeFi Wallet - Best Place to Manage, Swap & Farm DeFi Tokens
Securely Manage, Swap & Farm DeFi Tokens, including UNI, COMP, YFI, CRO, AAVE.
Boost your yields by up to 20x when you stake CRO!
Get App Now

Sponsored"
,11,"Stellar

XLM",$0.4236,0.55%,3.20%,"$9,548,350,395","$1,219,358,100

2,878,362,472 XLM","22,539,411,060 XLM",,
,12,"USD Coin

USDC",$1.0000,0.03%,0.00%,"$8,748,543,429","$1,900,365,577

1,900,403,819 USDC","8,748,719,478 USDC",,
,13,"Uniswap

UNI",$26.64,2.34%,1.25%,"$8,304,535,929","$1,031,398,481

38,716,569 UNI","311,735,129 UNI",,
,,NEMXEM,$0.83,26.42%,51.67%,,,,,
,,DogecoinDOGE,$0.05,-2.60%,1.60%,,,,,
,,Wrapped BitcoinWBTC,$49156.71,0.11%,-3.12%,,,,,
,,AaveAAVE,$400.15,3.03%,2.44%,,,,,
,,CosmosATOM,$19.41,-2.25%,-4.57%,,,,,
,,MoneroXMR,$222.83,-2.13%,2.65%,,,,,
,,Crypto.com CoinCRO,$0.16,6.37%,-10.93%,,,,,
,,THETATHETA,$3.73,11.05%,12.66%,,,,,
,,EOSEOS,$3.92,6.61%,-1.99%,,,,,
,,SolanaSOL,$14.16,-1.91%,-10.85%,,,,,
,,Bitcoin SVBSV,$187.59,2.48%,-2.63%,,,,,
,,TRONTRX,$0.05,1.07%,1.70%,,,,,
,,IOTAMIOTA,$1.20,0.80%,3.82%,,,,,
,,TezosXTZ,$3.93,8.81%,7.26%,,,,,
,,VeChainVET,$0.05,1.18%,2.00%,,,,,
,,FTX TokenFTT,$30.29,1.16%,2.29%,,,,,
,,Binance USDBUSD,$1.00,-0.01%,-0.01%,,,,,
,,NeoNEO,$39.34,3.33%,-3.72%,,,,,
,,TerraLUNA,$6.77,4.16%,-7.31%,,,,,
,,Huobi TokenHT,$14.55,0.20%,-27.90%,,,,,
,,SynthetixSNX,$23.05,5.10%,18.75%,,,,,
,,DaiDAI,$1.00,-0.03%,-0.01%,,,,,
,,AlgorandALGO,$1.10,1.37%,-1.46%,,,,,
,,The GraphGRT,$1.88,-0.19%,0.66%,,,,,
,,ElrondEGLD,$137.10,-2.15%,13.27%,,,,,
,,CompoundCOMP,$502.02,-0.88%,21.36%,,,,,
,,SushiSwapSUSHI,$18.08,-9.92%,20.72%,,,,,
,,FilecoinFIL,$40.04,6.23%,7.92%,,,,,
,,MakerMKR,$2266.47,3.62%,-1.47%,,,,,
,,DashDASH,$223.73,2.24%,-5.14%,,,,,
,,AvalancheAVAX,$28.64,6.82%,4.05%,,,,,
,,KusamaKSM,$244.88,8.33%,-2.83%,,,,,
,,UNUS SED LEOLEO,$1.96,-6.97%,-6.54%,,,,,
,,DecredDCR,$145.99,-0.59%,0.62%,,,,,
,,PancakeSwapCAKE,$12.31,-0.94%,-9.68%,,,,,
,,Voyager TokenVGX,$6.66,-0.79%,2.35%,,,,,
,,FantomFTM,$0.55,1.59%,14.49%,,,,,
,,ZcashZEC,$123.02,0.70%,-4.72%,,,,,
,,RavencoinRVN,$0.16,-3.08%,-13.02%,,,,,
,,Ethereum ClassicETC,$11.25,2.48%,-5.94%,,,,,
,,THORChainRUNE,$5.54,5.46%,7.63%,,,,,
,,ZilliqaZIL,$0.12,1.37%,5.96%,,,,,
,,NEAR ProtocolNEAR,$4.20,2.05%,28.77%,,,,,
,,yearn.financeYFI,$34163.45,-0.03%,-1.90%,,,,,
,,UMAUMA,$21.64,1.67%,-1.39%,,,,,
,,NexoNEXO,$2.15,-1.74%,-0.29%,,,,,
,,BitTorrentBTT,$0.00,-0.08%,-17.92%,,,,,
,,PolygonMATIC,$0.23,0.62%,50.20%,,,,,
,,CelsiusCEL,$4.71,-0.94%,-10.63%,,,,,
,,RenREN,$1.12,-0.60%,-7.77%,,,,,
,,ICONICX,$1.78,4.25%,16.56%,,,,,
,,RevainREV,$0.01,0.05%,1.78%,,,,,
,,OKBOKB,$17.50,0.87%,-2.52%,,,,,
,,0xZRX,$1.39,2.43%,-11.44%,,,,,
,,Basic Attention TokenBAT,$0.70,22.74%,40.53%,,,,,
,,WavesWAVES,$9.69,1.00%,-0.63%,,,,,
,,Hedera HashgraphHBAR,$0.12,2.42%,0.84%,,,,,
,,HUSDHUSD,$1.00,0.03%,-0.09%,,,,,
,,SwissBorgCHSB,$0.91,1.42%,-5.26%,,,,,
,,renBTCRENBTC,$49078.79,0.09%,-3.06%,,,,,
,,DigiByteDGB,$0.06,4.07%,-0.53%,,,,,
,,BancorBNT,$5.74,3.53%,0.19%,,,,,
,,Bitcoin BEP2BTCB,$49206.14,1.09%,-3.53%,,,,,
,,StacksSTX,$1.06,8.89%,18.77%,,,,,
,,OntologyONT,$0.95,7.00%,-7.07%,,,,,
,,Enjin CoinENJ,$0.90,22.49%,90.05%,,,,,
,,CeloCELO,$3.94,-2.31%,-9.35%,,,,,
,,TerraUSDUST,$1.00,0.01%,0.00%,,,,,
,,LoopringLRC,$0.58,-1.73%,-0.93%,,,,,
,,NanoNANO,$5.22,-0.07%,-7.43%,,,,,
,,FlowFLOW,$29.56,0.06%,34.25%,,,,,
,,Theta FuelTFUEL,$0.13,2.45%,45.82%,,,,,
,,OMG NetworkOMG,$4.82,4.07%,1.60%,,,,,
,,IOSTIOST,$0.04,-2.56%,-25.98%,,,,,
,,Paxos StandardPAX,$1.00,-0.46%,-0.03%,,,,,
,,Reserve RightsRSR,$0.06,6.76%,34.99%,,,,,
,,1inch1INCH,$4.10,-3.53%,7.57%,,,,,
,,Curve DAO TokenCRV,$2.46,14.93%,9.25%,,,,,
,,HorizenZEN,$48.78,0.05%,-12.81%,,,,,
,,Energy Web TokenEWT,$17.53,32.09%,34.32%,,,,,
,,QtumQTUM,$5.35,3.60%,0.48%,,,,,
,,SiacoinSC,$0.01,1.80%,-7.74%,,,,,
,,Pundi XNPXS,$0.00,1.23%,-22.50%,,,,,
,,DecentralandMANA,$0.31,17.03%,26.71%,,,,,
,,Ocean ProtocolOCEAN,$1.14,22.61%,21.18%,,,,,
,,Bitcoin GoldBTG,$27.16,1.61%,-6.90%,,,,,
